tier,company,domain,jurisdiction,found_email_1,found_email_2,guessed_email,contact_page,linkedin,subject,lead_id
6,"Hitachi",hitachi.com,JP,,,info@hitachi.com,,https://www.linkedin.com/search/results/companies/?keywords=Hitachi,"Hitachi: Sovereign Cloud",T6-026
6,"NTT Data",ntt.com,JP,,,info@ntt.com,https://ntt.com/contact,https://www.linkedin.com/search/results/companies/?keywords=NTT%20Data,"NTT Data: Sovereign Cloud",T6-027
6,"Fujitsu",fujitsu.com,JP,,,info@fujitsu.com,,https://www.linkedin.com/search/results/companies/?keywords=Fujitsu,"Fujitsu: Sovereign Cloud",T6-028
6,"NEC",nec.com,JP,,,info@nec.com,https://nec.com/contact,https://www.linkedin.com/search/results/companies/?keywords=NEC,"NEC: Sovereign Cloud",T6-029
6,"SoftBank",softbank.com,JP,makiko.kobayashi@softbank.co.jp,tadahiro.sugibuchi@softbank.co.jp,info@softbank.com,,https://www.linkedin.com/search/results/companies/?keywords=SoftBank,"SoftBank: Sovereign + Charter",T6-030
6,"Baidu",baidu.com,CN,,,info@baidu.com,,https://www.linkedin.com/search/results/companies/?keywords=Baidu,"Baidu: Sovereign alternative",T6-031
6,"Alibaba Cloud",alibaba.com,CN,,,info@alibaba.com,https://alibaba.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Alibaba%20Cloud,"Alibaba Cloud: Sovereign alternative",T6-032
6,"Tencent Cloud",tencent.com,CN,,,info@tencent.com,,https://www.linkedin.com/search/results/companies/?keywords=Tencent%20Cloud,"Tencent Cloud: Sovereign alternative",T6-033
6,"Huawei Cloud",huawei.com,CN,,,info@huawei.com,,https://www.linkedin.com/search/results/companies/?keywords=Huawei%20Cloud,"Huawei Cloud: Restricted",T6-034
6,"Reliance Jio",reliance.com,IN,,,info@reliance.com,https://reliance.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Reliance%20Jio,"Reliance Jio: Sovereign Cloud",T6-035
6,"Tata Consultancy",tata.com,IN,northamerica@tata.com,tata@tata.co.uk,info@tata.com,https://tata.com/contact-us,https://www.linkedin.com/search/results/companies/?keywords=Tata%20Consultancy,"Tata Consultancy: Sovereign Cloud",T6-036
6,"Infosys",infosys.com,IN,,,info@infosys.com,https://infosys.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Infosys,"Infosys: Sovereign Cloud",T6-037
6,"Wipro",wipro.com,IN,,,info@wipro.com,https://wipro.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Wipro,"Wipro: Sovereign Cloud",T6-038
6,"HCLTech",hcltech.com,IN,hclfederal@immixgroup.com,,info@hcltech.com,https://hcltech.com/contact,https://www.linkedin.com/search/results/companies/?keywords=HCLTech,"HCLTech: Sovereign Cloud",T6-039
6,"Accenture",accenture.com,IE,,,info@accenture.com,https://accenture.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Accenture,"Accenture: Charter Article 0",T6-040
6,"Capgemini",capgemini.com,FR,,,info@capgemini.com,https://capgemini.com/contact-us,https://www.linkedin.com/search/results/companies/?keywords=Capgemini,"Capgemini: Sovereign Cloud",T6-041
6,"Schneider Electric",schneider.com,FR,slcyedi@schneider.com,stuelpnerb@schneider.com,info@schneider.com,https://schneider.com/contact-us,https://www.linkedin.com/search/results/companies/?keywords=Schneider%20Electric,"Schneider Electric: Sovereign Cloud",T6-042
6,"Airbus",airbus.com,FR,,,info@airbus.com,,https://www.linkedin.com/search/results/companies/?keywords=Airbus,"Airbus: DEFONEOS Crown RFQ",T6-043
6,"Thales",thales.com,FR,,,info@thales.com,https://thales.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Thales,"Thales: DEFONEOS Crown RFQ",T6-044
6,"Dassault Systèmes",dassault.com,FR,,,info@dassault.com,,https://www.linkedin.com/search/results/companies/?keywords=Dassault%20Syst%C3%A8mes,"Dassault Systèmes: Sovereign Cloud",T6-045
6,"Saab",saab.com,SE,,,info@saab.com,,https://www.linkedin.com/search/results/companies/?keywords=Saab,"Saab: DEFONEOS Crown RFQ",T6-046
6,"Spotify",spotify.com,SE,office@spotify.com,,info@spotify.com,https://spotify.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Spotify,"Spotify: Article 50",T6-047
6,"Klarna",klarna.com,SE,,,info@klarna.com,,https://www.linkedin.com/search/results/companies/?keywords=Klarna,"Klarna: DORA + Charter",T6-048
6,"Ericsson",ericsson.com,SE,,,info@ericsson.com,,https://www.linkedin.com/search/results/companies/?keywords=Ericsson,"Ericsson: Sovereign Cloud",T6-049
6,"Nokia",nokia.com,FI,press.services@nokia.com,nokia.iar@nokia.com,info@nokia.com,https://nokia.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Nokia,"Nokia: Sovereign Cloud",T6-050
8,"European Commission DG-CONNECT",europa.eu,EU,,,info@europa.eu,https://europa.eu/contact,https://www.linkedin.com/search/results/companies/?keywords=European%20Commission%20DG-CONNECT,"European Commission DG-CONNECT: Sovereign substrate",T8-001
8,"EU AI Office",europa.eu,EU,,,info@europa.eu,https://europa.eu/contact,https://www.linkedin.com/search/results/companies/?keywords=EU%20AI%20Office,"EU AI Office: 33-agent BFT council",T8-002
8,"EU Eurojust",eu.com,EU,,,info@eu.com,https://eu.com/contact,https://www.linkedin.com/search/results/companies/?keywords=EU%20Eurojust,"EU Eurojust: Sovereign Court",T8-003
8,"Europol",europol.com,EU,,,info@europol.com,,https://www.linkedin.com/search/results/companies/?keywords=Europol,"Europol: Article 50 + Charter",T8-004
8,"Frontex",frontex.com,EU,,,info@frontex.com,,https://www.linkedin.com/search/results/companies/?keywords=Frontex,"Frontex: Article 50 + Sovereign",T8-005
8,"ESA",esa.com,EU,,,info@esa.com,,https://www.linkedin.com/search/results/companies/?keywords=ESA,"ESA: Sovereign Cloud",T8-006
8,"EUMETSAT",eumetsat.com,EU,,,info@eumetsat.com,https://eumetsat.com/contact,https://www.linkedin.com/search/results/companies/?keywords=EUMETSAT,"EUMETSAT: Sovereign Cloud",T8-007
8,"European Central Bank",european.com,EU,,,info@european.com,https://european.com/contact,https://www.linkedin.com/search/results/companies/?keywords=European%20Central%20Bank,"European Central Bank: DORA + Sovereign",T8-008
8,"European Investment Bank",european.com,EU,,,info@european.com,https://european.com/contact,https://www.linkedin.com/search/results/companies/?keywords=European%20Investment%20Bank,"European Investment Bank: Charter Article 0",T8-009
8,"Bundesbank",bundesbank.com,DE,,,info@bundesbank.com,,https://www.linkedin.com/search/results/companies/?keywords=Bundesbank,"Bundesbank: DORA + Sovereign",T8-010
8,"BaFin",bafin.com,DE,,,info@bafin.com,,https://www.linkedin.com/search/results/companies/?keywords=BaFin,"BaFin: DORA + Sovereign",T8-011
8,"Bundesamt für Sicherheit (BSI)",bundesamt.com,DE,,,info@bundesamt.com,,https://www.linkedin.com/search/results/companies/?keywords=Bundesamt%20f%C3%BCr%20Sicherheit%20(BSI),"Bundesamt für Sicherheit (BSI): Gods-Eye + Sovereign",T8-012
8,"French Ministry of Interior",interieur.gouv.fr,FR,,,info@interieur.gouv.fr,,https://www.linkedin.com/search/results/companies/?keywords=French%20Ministry%20of%20Interior,"French Ministry of Interior: Article 50",T8-013
8,"CNIL (FR)",cnil.com,FR,,,info@cnil.com,,https://www.linkedin.com/search/results/companies/?keywords=CNIL%20(FR),"CNIL (FR): Sovereign wallet",T8-014
8,"AMF (FR)",amf.com,FR,guestservice@bowlerocorp.com,guestexperience@lsent.com,info@amf.com,https://amf.com/contact,https://www.linkedin.com/search/results/companies/?keywords=AMF%20(FR),"AMF (FR): DORA + Sovereign",T8-015
8,"ANSSI (FR)",anssi.com,FR,,,info@anssi.com,,https://www.linkedin.com/search/results/companies/?keywords=ANSSI%20(FR),"ANSSI (FR): Gods-Eye + Sovereign",T8-016
8,"Italian Garante",italian.com,IT,,,info@italian.com,,https://www.linkedin.com/search/results/companies/?keywords=Italian%20Garante,"Italian Garante: Sovereign wallet",T8-017
8,"Banca d'Italia",banca.com,IT,,,info@banca.com,https://banca.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Banca%20d'Italia,"Banca d'Italia: DORA + Sovereign",T8-018
8,"Spanish AEPD",aepd.es,ES,,,info@aepd.es,,https://www.linkedin.com/search/results/companies/?keywords=Spanish%20AEPD,"Spanish AEPD: Sovereign wallet",T8-019
8,"Banco de España",banco.com,ES,,,info@banco.com,,https://www.linkedin.com/search/results/companies/?keywords=Banco%20de%20Espa%C3%B1a,"Banco de España: DORA + Sovereign",T8-020
8,"Spanish CNMC",cnmc.es,ES,,,info@cnmc.es,https://cnmc.es/contact,https://www.linkedin.com/search/results/companies/?keywords=Spanish%20CNMC,"Spanish CNMC: Charter Article 0",T8-021
8,"Polish UODO",polish.com,PL,,,info@polish.com,,https://www.linkedin.com/search/results/companies/?keywords=Polish%20UODO,"Polish UODO: Sovereign wallet",T8-022
8,"Polish KNF",polish.com,PL,,,info@polish.com,,https://www.linkedin.com/search/results/companies/?keywords=Polish%20KNF,"Polish KNF: DORA + Sovereign",T8-023
8,"Dutch AP",dutch.com,NL,care@dutch.com,,info@dutch.com,,https://www.linkedin.com/search/results/companies/?keywords=Dutch%20AP,"Dutch AP: Sovereign wallet",T8-024
8,"Dutch DNB",dutch.com,NL,care@dutch.com,,info@dutch.com,,https://www.linkedin.com/search/results/companies/?keywords=Dutch%20DNB,"Dutch DNB: DORA + Sovereign",T8-025
8,"Belgian DPA",belgian.com,BE,,,info@belgian.com,,https://www.linkedin.com/search/results/companies/?keywords=Belgian%20DPA,"Belgian DPA: Sovereign wallet",T8-026
8,"Belgian NBB",belgian.com,BE,,,info@belgian.com,,https://www.linkedin.com/search/results/companies/?keywords=Belgian%20NBB,"Belgian NBB: DORA + Sovereign",T8-027
8,"Austrian DPA",austrian.com,AT,,,info@austrian.com,,https://www.linkedin.com/search/results/companies/?keywords=Austrian%20DPA,"Austrian DPA: Sovereign wallet",T8-028
8,"Austrian FMA",austrian.com,AT,,,info@austrian.com,,https://www.linkedin.com/search/results/companies/?keywords=Austrian%20FMA,"Austrian FMA: DORA + Sovereign",T8-029
8,"Swedish IMY",swedish.com,SE,,,info@swedish.com,https://swedish.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Swedish%20IMY,"Swedish IMY: Sovereign wallet",T8-030
8,"Swedish FI",swedish.com,SE,,,info@swedish.com,https://swedish.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Swedish%20FI,"Swedish FI: DORA + Sovereign",T8-031
8,"Danish Datatilsynet",danish.com,DK,,,info@danish.com,https://danish.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Danish%20Datatilsynet,"Danish Datatilsynet: Sovereign wallet",T8-032
8,"Danish FSA",danish.com,DK,,,info@danish.com,https://danish.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Danish%20FSA,"Danish FSA: DORA + Sovereign",T8-033
8,"Finnish Ombudsman",finnish.com,FI,,,info@finnish.com,,https://www.linkedin.com/search/results/companies/?keywords=Finnish%20Ombudsman,"Finnish Ombudsman: Sovereign wallet",T8-034
8,"Finnish FSA",finnish.com,FI,,,info@finnish.com,,https://www.linkedin.com/search/results/companies/?keywords=Finnish%20FSA,"Finnish FSA: DORA + Sovereign",T8-035
8,"Norwegian Datatilsynet",norwegian.com,NO,,,info@norwegian.com,,https://www.linkedin.com/search/results/companies/?keywords=Norwegian%20Datatilsynet,"Norwegian Datatilsynet: Sovereign wallet",T8-036
8,"Norwegian FSA",norwegian.com,NO,,,info@norwegian.com,,https://www.linkedin.com/search/results/companies/?keywords=Norwegian%20FSA,"Norwegian FSA: DORA + Sovereign",T8-037
8,"Irish DPC",irish.com,IE,,,info@irish.com,,https://www.linkedin.com/search/results/companies/?keywords=Irish%20DPC,"Irish DPC: Sovereign wallet",T8-038
8,"Irish CBI",irish.com,IE,,,info@irish.com,,https://www.linkedin.com/search/results/companies/?keywords=Irish%20CBI,"Irish CBI: DORA + Sovereign",T8-039
8,"Portuguese CNPD",portuguese.com,PT,info@portuguese.com,,info@portuguese.com,,https://www.linkedin.com/search/results/companies/?keywords=Portuguese%20CNPD,"Portuguese CNPD: Sovereign wallet",T8-040
8,"Portuguese BdP",portuguese.com,PT,info@portuguese.com,,info@portuguese.com,,https://www.linkedin.com/search/results/companies/?keywords=Portuguese%20BdP,"Portuguese BdP: DORA + Sovereign",T8-041
8,"Greek HDPA",greek.com,GR,rdp@ddc.com,inquire@webname.com,info@greek.com,,https://www.linkedin.com/search/results/companies/?keywords=Greek%20HDPA,"Greek HDPA: Sovereign wallet",T8-042
8,"Greek BoG",greek.com,GR,rdp@ddc.com,inquire@webname.com,info@greek.com,,https://www.linkedin.com/search/results/companies/?keywords=Greek%20BoG,"Greek BoG: DORA + Sovereign",T8-043
8,"Czech UOOÚ",czech.com,CZ,,,info@czech.com,,https://www.linkedin.com/search/results/companies/?keywords=Czech%20UOO%C3%9A,"Czech UOOÚ: Sovereign wallet",T8-044
8,"Czech CNB",czech.com,CZ,,,info@czech.com,,https://www.linkedin.com/search/results/companies/?keywords=Czech%20CNB,"Czech CNB: DORA + Sovereign",T8-045
8,"Hungarian NAIH",hungarian.com,HU,,,info@hungarian.com,https://hungarian.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Hungarian%20NAIH,"Hungarian NAIH: Sovereign wallet",T8-046
8,"Hungarian MNB",hungarian.com,HU,,,info@hungarian.com,https://hungarian.com/contact,https://www.linkedin.com/search/results/companies/?keywords=Hungarian%20MNB,"Hungarian MNB: DORA + Sovereign",T8-047
8,"Romanian ANSPDCP",romanian.com,RO,,,info@romanian.com,,https://www.linkedin.com/search/results/companies/?keywords=Romanian%20ANSPDCP,"Romanian ANSPDCP: Sovereign wallet",T8-048
8,"Romanian BNR",romanian.com,RO,,,info@romanian.com,,https://www.linkedin.com/search/results/companies/?keywords=Romanian%20BNR,"Romanian BNR: DORA + Sovereign",T8-049
8,"Bulgarian CPDP",bulgarian.com,BG,,,info@bulgarian.com,,https://www.linkedin.com/search/results/companies/?keywords=Bulgarian%20CPDP,"Bulgarian CPDP: Sovereign wallet",T8-050
