dir,vercel_linked,name,url1,code1,status1,url2,code2,status2,live_url
clock-embed-deploy,yes,clock-embed-deploy,https://clock-embed-deploy.vercel.app,200,live,https://meok-clock-embed-deploy-ai.vercel.app,404,dead,https://clock-embed-deploy.vercel.app
cobol-bridge,yes,cobol-bridge,https://cobol-bridge.vercel.app,200,live,https://meok-cobol-bridge-ai.vercel.app,404,dead,https://cobol-bridge.vercel.app
cobol-bridge-demo,yes,cobol-bridge-demo,https://cobol-bridge-demo.vercel.app,200,live,https://meok-cobol-bridge-demo-ai.vercel.app,404,dead,https://cobol-bridge-demo.vercel.app
cobolbridge-deploy,yes,cobolbridge-deploy,https://cobolbridge-deploy.vercel.app,200,live,https://meok-cobolbridge-deploy-ai.vercel.app,404,dead,https://cobolbridge-deploy.vercel.app
commercialvehicle-deploy,yes,commercialvehicle-deploy,https://commercialvehicle-deploy.vercel.app,200,live,https://meok-commercialvehicle-deploy-ai.vercel.app,404,dead,https://commercialvehicle-deploy.vercel.app
compare-deploy,yes,compare-deploy,https://compare-deploy.vercel.app,200,live,https://meok-compare-deploy-ai.vercel.app,404,dead,https://compare-deploy.vercel.app
contact-deploy,yes,contact-deploy,https://contact-deploy.vercel.app,404,dead,https://meok-contact-deploy-ai.vercel.app,404,dead,none
csoai-research,yes,csga-ai,https://csga-ai.vercel.app,404,dead,https://meok-csga-ai-ai.vercel.app,404,dead,none
csoai-global,yes,csga-global,https://csga-global.vercel.app,404,dead,https://meok-csga-global-ai.vercel.app,404,dead,none
csoai-org,yes,csoai-org,https://csoai-org.vercel.app,200,live,https://meok-csoai-org-ai.vercel.app,404,dead,https://csoai-org.vercel.app
csoai-org,yes,csoai-org,https://csoai-org.vercel.app,200,live,https://meok-csoai-org-ai.vercel.app,404,dead,https://csoai-org.vercel.app
csoai-org-v2,yes,csoai-org-v2,https://csoai-org-v2.vercel.app,200,live,https://meok-csoai-org-v2-ai.vercel.app,404,dead,https://csoai-org-v2.vercel.app
csoai-dashboard-master,yes,csoai-v2-master,https://csoai-v2-master.vercel.app,200,live,https://meok-csoai-v2-master-ai.vercel.app,404,dead,https://csoai-v2-master.vercel.app
data-residency-deploy,yes,data-residency-deploy,https://data-residency-deploy.vercel.app,200,live,https://meok-data-residency-deploy-ai.vercel.app,404,dead,https://data-residency-deploy.vercel.app
dataprivacyof-deploy,yes,dataprivacyof-deploy,https://dataprivacyof-deploy.vercel.app,200,live,https://meok-dataprivacyof-deploy-ai.vercel.app,404,dead,https://dataprivacyof-deploy.vercel.app
digital-human-library,yes,digital-human-library,https://digital-human-library.vercel.app,200,live,https://meok-digital-human-library-ai.vercel.app,404,dead,https://digital-human-library.vercel.app
diyhelp.ai,yes,diyhelp-ai,https://diyhelp-ai.vercel.app,200,live,https://meok-diyhelp-ai-ai.vercel.app,404,dead,https://diyhelp-ai.vercel.app
diyhelp-deploy,yes,diyhelp-deploy,https://diyhelp-deploy.vercel.app,200,live,https://meok-diyhelp-deploy-ai.vercel.app,404,dead,https://diyhelp-deploy.vercel.app
dragon-portal,yes,dragon-portal,https://dragon-portal.vercel.app,200,live,https://meok-dragon-portal-ai.vercel.app,404,dead,https://dragon-portal.vercel.app
events-deploy,yes,events-deploy,https://events-deploy.vercel.app,200,live,https://meok-events-deploy-ai.vercel.app,404,dead,https://events-deploy.vercel.app
fintech-ai-deploy,yes,fintech-ai-deploy,https://fintech-ai-deploy.vercel.app,200,live,https://meok-fintech-ai-deploy-ai.vercel.app,404,dead,https://fintech-ai-deploy.vercel.app
govtech-ai-deploy,yes,govtech-ai-deploy,https://govtech-ai-deploy.vercel.app,200,live,https://meok-govtech-ai-deploy-ai.vercel.app,404,dead,https://govtech-ai-deploy.vercel.app
grabhire-deploy,yes,grabhire-ai-conversion,https://grabhire-ai-conversion.vercel.app,200,live,https://meok-grabhire-ai-conversion-ai.vercel.app,404,dead,https://grabhire-ai-conversion.vercel.app
grabhire-site,yes,grabhire-site,https://grabhire-site.vercel.app,200,live,https://meok-grabhire-site-ai.vercel.app,404,dead,https://grabhire-site.vercel.app
hackathon-deploy-v2,yes,hackathon-deploy,https://hackathon-deploy.vercel.app,200,live,https://meok-hackathon-deploy-ai.vercel.app,404,dead,https://hackathon-deploy.vercel.app
healthtech-ai-deploy,yes,healthtech-ai-deploy,https://healthtech-ai-deploy.vercel.app,200,live,https://meok-healthtech-ai-deploy-ai.vercel.app,404,dead,https://healthtech-ai-deploy.vercel.app
help-deploy,yes,help-deploy,https://help-deploy.vercel.app,200,live,https://meok-help-deploy-ai.vercel.app,404,dead,https://help-deploy.vercel.app
hive-deploy,yes,hive-deploy,https://hive-deploy.vercel.app,200,live,https://meok-hive-deploy-ai.vercel.app,404,dead,https://hive-deploy.vercel.app
indexnow-deploy,yes,indexnow-deploy,https://indexnow-deploy.vercel.app,200,live,https://meok-indexnow-deploy-ai.vercel.app,404,dead,https://indexnow-deploy.vercel.app
industrial-domains,yes,industrial-domains,https://industrial-domains.vercel.app,200,live,https://meok-industrial-domains-ai.vercel.app,404,dead,https://industrial-domains.vercel.app
industries-deploy,yes,industries-deploy,https://industries-deploy.vercel.app,200,live,https://meok-industries-deploy-ai.vercel.app,404,dead,https://industries-deploy.vercel.app
investor-deploy-v2,yes,investor-deploy,https://investor-deploy.vercel.app,200,live,https://meok-investor-deploy-ai.vercel.app,404,dead,https://investor-deploy.vercel.app
keystone-deploy,yes,keystone-deploy,https://keystone-deploy.vercel.app,200,live,https://meok-keystone-deploy-ai.vercel.app,404,dead,https://keystone-deploy.vercel.app
landing-site,yes,landing-site,https://landing-site.vercel.app,200,live,https://meok-landing-site-ai.vercel.app,404,dead,https://landing-site.vercel.app
landlaw-deploy,yes,landlaw-deploy,https://landlaw-deploy.vercel.app,200,live,https://meok-landlaw-deploy-ai.vercel.app,404,dead,https://landlaw-deploy.vercel.app
legal-acts-tracker-deploy,yes,legal-acts-tracker-deploy,https://legal-acts-tracker-deploy.vercel.app,200,live,https://meok-legal-acts-tracker-deploy-ai.vercel.app,404,dead,https://legal-acts-tracker-deploy.vercel.app
live-calendar-deploy,yes,live-calendar-deploy,https://live-calendar-deploy.vercel.app,200,live,https://meok-live-calendar-deploy-ai.vercel.app,404,dead,https://live-calendar-deploy.vercel.app
live-counter-deploy,yes,live-counter-deploy,https://live-counter-deploy.vercel.app,200,live,https://meok-live-counter-deploy-ai.vercel.app,404,dead,https://live-counter-deploy.vercel.app
live-demo-deploy,yes,live-demo-deploy,https://live-demo-deploy.vercel.app,200,live,https://meok-live-demo-deploy-ai.vercel.app,404,dead,https://live-demo-deploy.vercel.app
loopfactory.ai,yes,loopfactory-ai,https://loopfactory-ai.vercel.app,200,live,https://meok-loopfactory-ai-ai.vercel.app,404,dead,https://loopfactory-ai.vercel.app
meme-deploy,yes,meme-deploy,https://meme-deploy.vercel.app,200,live,https://meok-meme-deploy-ai.vercel.app,404,dead,https://meme-deploy.vercel.app
workspace,yes,meok-ai,https://meok-ai.vercel.app,200,live,https://meok-meok-ai-ai.vercel.app,404,dead,https://meok-ai.vercel.app
meok-marketing,yes,meok-marketing,https://meok-marketing.vercel.app,200,live,https://meok-meok-marketing-ai.vercel.app,404,dead,https://meok-marketing.vercel.app
muckaway-deploy,yes,muckaway-ai-conversion,https://muckaway-ai-conversion.vercel.app,200,live,https://meok-muckaway-ai-conversion-ai.vercel.app,404,dead,https://muckaway-ai-conversion.vercel.app
oneos,yes,oneos,https://oneos.vercel.app,200,live,https://meok-oneos-ai.vercel.app,404,dead,https://oneos.vercel.app
openmoe-deploy,yes,openmoe-deploy,https://openmoe-deploy.vercel.app,401,protected,https://meok-openmoe-deploy-ai.vercel.app,404,dead,none
orbit-q,yes,orbit-q,https://orbit-q.vercel.app,200,live,https://meok-orbit-q-ai.vercel.app,404,dead,https://orbit-q.vercel.app
partner-finder-deploy,yes,partner-finder-deploy,https://partner-finder-deploy.vercel.app,200,live,https://meok-partner-finder-deploy-ai.vercel.app,404,dead,https://partner-finder-deploy.vercel.app
partners-page-deploy,yes,partners-page-deploy,https://partners-page-deploy.vercel.app,200,live,https://meok-partners-page-deploy-ai.vercel.app,404,dead,https://partners-page-deploy.vercel.app
planthire-deploy,yes,planthire-ai-conversion,https://planthire-ai-conversion.vercel.app,200,live,https://meok-planthire-ai-conversion-ai.vercel.app,404,dead,https://planthire-ai-conversion.vercel.app
planthire-app,yes,planthire-app,https://planthire-app.vercel.app,200,live,https://meok-planthire-app-ai.vercel.app,404,dead,https://planthire-app.vercel.app
policy-gen-deploy,yes,policy-gen-deploy,https://policy-gen-deploy.vercel.app,200,live,https://meok-policy-gen-deploy-ai.vercel.app,404,dead,https://policy-gen-deploy.vercel.app
positions-deploy,yes,positions-deploy,https://positions-deploy.vercel.app,200,live,https://meok-positions-deploy-ai.vercel.app,404,dead,https://positions-deploy.vercel.app
press-deploy,yes,press-deploy,https://press-deploy.vercel.app,200,live,https://meok-press-deploy-ai.vercel.app,404,dead,https://press-deploy.vercel.app
regtech-ai-deploy,yes,regtech-ai-deploy,https://regtech-ai-deploy.vercel.app,200,live,https://meok-regtech-ai-deploy-ai.vercel.app,404,dead,https://regtech-ai-deploy.vercel.app
roadmap-deploy,yes,roadmap-deploy,https://roadmap-deploy.vercel.app,200,live,https://meok-roadmap-deploy-ai.vercel.app,404,dead,https://roadmap-deploy.vercel.app
security-bulldog,yes,security-bulldog,https://security-bulldog.vercel.app,200,live,https://meok-security-bulldog-ai.vercel.app,404,dead,https://security-bulldog.vercel.app
security-deploy,yes,security-deploy,https://security-deploy.vercel.app,200,live,https://meok-security-deploy-ai.vercel.app,404,dead,https://security-deploy.vercel.app
subscribe-deploy,yes,subscribe-deploy,https://subscribe-deploy.vercel.app,200,live,https://meok-subscribe-deploy-ai.vercel.app,404,dead,https://subscribe-deploy.vercel.app
suicidestop.ai,yes,suicidestop-ai,https://suicidestop-ai.vercel.app,200,live,https://meok-suicidestop-ai-ai.vercel.app,404,dead,https://suicidestop-ai.vercel.app
suicidestop-deploy,yes,suicidestop-deploy,https://suicidestop-deploy.vercel.app,200,live,https://meok-suicidestop-deploy-ai.vercel.app,404,dead,https://suicidestop-deploy.vercel.app
supplier-portal-deploy,yes,supplier-portal-deploy,https://supplier-portal-deploy.vercel.app,200,live,https://meok-supplier-portal-deploy-ai.vercel.app,404,dead,https://supplier-portal-deploy.vercel.app
support-deploy,yes,support-deploy,https://support-deploy.vercel.app,200,live,https://meok-support-deploy-ai.vercel.app,404,dead,https://support-deploy.vercel.app
terranova-aerospace,yes,terranova-aerospace,https://terranova-aerospace.vercel.app,404,dead,https://meok-terranova-aerospace-ai.vercel.app,404,dead,none
terranova-mu,yes,terranova-mu,https://terranova-mu.vercel.app,404,dead,https://meok-terranova-mu-ai.vercel.app,404,dead,none
terranova-ocg,yes,terranova-ocg,https://terranova-ocg.vercel.app,404,dead,https://meok-terranova-ocg-ai.vercel.app,404,dead,none
terranova-secdef,yes,terranova-secdef,https://terranova-secdef.vercel.app,404,dead,https://meok-terranova-secdef-ai.vercel.app,404,dead,none
thanks-deploy,yes,thanks-deploy,https://thanks-deploy.vercel.app,200,live,https://meok-thanks-deploy-ai.vercel.app,404,dead,https://thanks-deploy.vercel.app
transparency-deploy,yes,transparency-deploy,https://transparency-deploy.vercel.app,200,live,https://meok-transparency-deploy-ai.vercel.app,404,dead,https://transparency-deploy.vercel.app
transparencyof-deploy,yes,transparencyof-deploy,https://transparencyof-deploy.vercel.app,200,live,https://meok-transparencyof-deploy-ai.vercel.app,404,dead,https://transparencyof-deploy.vercel.app
