hunger,energy,social,fun,wealth,comfort,hygiene,bladder,archetype,care_style,arm,scarcity,care_score,care_floor_breach,gate_verdict
72.0,89.0,80.0,100.0,75.0,100.0,54.0,76.0,Scholar,gentle,A_governed,0,0.6,0,allow
72.0,89.0,80.0,100.0,75.0,100.0,54.0,76.0,Healer,gentle,A_governed,0,0.6,0,allow
72.0,89.0,80.0,100.0,75.0,100.0,54.0,76.0,Trickster,challenger,A_governed,0,0.6,0,allow
72.0,89.0,80.0,100.0,75.0,100.0,54.0,76.0,Pioneer,explorer,A_governed,0,0.6,0,allow
65.0,85.0,75.0,100.0,75.0,100.0,51.0,68.0,Guardian,supporter,A_governed,0,0.6,0,allow
65.0,85.0,75.0,100.0,75.0,100.0,51.0,68.0,Scholar,gentle,A_governed,0,0.6,0,allow
65.0,85.0,75.0,100.0,75.0,100.0,51.0,68.0,Healer,gentle,A_governed,0,0.6,0,allow
65.0,85.0,75.0,100.0,75.0,100.0,51.0,68.0,Trickster,challenger,A_governed,0,0.6,0,allow
65.0,85.0,75.0,100.0,75.0,100.0,51.0,68.0,Pioneer,explorer,A_governed,0,0.6,0,allow
58.0,81.0,70.0,95.5,75.0,97.0,98.0,60.0,Guardian,supporter,A_governed,0,0.65,0,allow
58.0,81.0,70.0,95.5,75.0,97.0,98.0,60.0,Scholar,gentle,A_governed,0,0.65,0,allow
58.0,81.0,70.0,95.5,75.0,97.0,98.0,60.0,Healer,gentle,A_governed,0,0.65,0,allow
58.0,81.0,70.0,95.5,75.0,97.0,98.0,60.0,Trickster,challenger,A_governed,0,0.65,0,allow
58.0,81.0,70.0,95.5,75.0,97.0,98.0,60.0,Pioneer,explorer,A_governed,0,0.65,0,allow
100.0,77.0,65.0,91.0,75.0,94.0,95.0,52.0,Guardian,supporter,A_governed,0,0.7,0,allow
100.0,77.0,65.0,91.0,75.0,94.0,95.0,52.0,Scholar,gentle,A_governed,0,0.7,0,allow
100.0,77.0,65.0,91.0,75.0,94.0,95.0,52.0,Healer,gentle,A_governed,0,0.7,0,allow
100.0,77.0,65.0,91.0,75.0,94.0,95.0,52.0,Trickster,challenger,A_governed,0,0.7,0,allow
100.0,77.0,65.0,91.0,75.0,94.0,95.0,52.0,Pioneer,explorer,A_governed,0,0.7,0,allow
93.0,73.0,60.0,86.5,75.0,91.0,92.0,100.0,Guardian,supporter,A_governed,0,0.6,0,allow
93.0,73.0,60.0,86.5,75.0,91.0,92.0,100.0,Scholar,gentle,A_governed,0,0.6,0,allow
93.0,73.0,60.0,86.5,75.0,91.0,92.0,100.0,Healer,gentle,A_governed,0,0.6,0,allow
93.0,73.0,60.0,86.5,75.0,91.0,92.0,100.0,Trickster,challenger,A_governed,0,0.6,0,allow
93.0,73.0,60.0,86.5,75.0,91.0,92.0,100.0,Pioneer,explorer,A_governed,0,0.6,0,allow
86.0,63.0,55.0,82.0,75.0,88.0,89.0,92.0,Guardian,supporter,A_governed,0,0.85,0,allow
86.0,63.0,55.0,82.0,75.0,88.0,89.0,92.0,Scholar,gentle,A_governed,0,0.85,0,allow
86.0,63.0,55.0,82.0,75.0,88.0,89.0,92.0,Healer,gentle,A_governed,0,0.85,0,allow
86.0,63.0,55.0,82.0,75.0,88.0,89.0,92.0,Trickster,challenger,A_governed,0,0.85,0,allow
86.0,63.0,55.0,82.0,75.0,88.0,89.0,92.0,Pioneer,explorer,A_governed,0,0.85,0,allow
79.0,53.0,50.0,77.5,75.0,85.0,86.0,84.0,Guardian,supporter,A_governed,0,0.85,0,allow
79.0,53.0,50.0,77.5,75.0,85.0,86.0,84.0,Scholar,gentle,A_governed,0,0.85,0,allow
79.0,53.0,50.0,77.5,75.0,85.0,86.0,84.0,Healer,gentle,A_governed,0,0.85,0,allow
79.0,53.0,50.0,77.5,75.0,85.0,86.0,84.0,Trickster,challenger,A_governed,0,0.85,0,allow
79.0,53.0,50.0,77.5,75.0,85.0,86.0,84.0,Pioneer,explorer,A_governed,0,0.85,0,allow
72.0,49.0,85.0,73.0,75.0,82.0,83.0,76.0,Guardian,supporter,A_governed,0,0.9,0,allow
72.0,49.0,85.0,73.0,75.0,82.0,83.0,76.0,Scholar,gentle,A_governed,0,0.9,0,allow
72.0,49.0,85.0,73.0,75.0,82.0,83.0,76.0,Healer,gentle,A_governed,0,0.9,0,allow
72.0,49.0,85.0,73.0,75.0,82.0,83.0,76.0,Trickster,challenger,A_governed,0,0.9,0,allow
72.0,49.0,85.0,73.0,75.0,82.0,83.0,76.0,Pioneer,explorer,A_governed,0,0.9,0,allow
65.0,100.0,80.0,68.5,75.0,79.0,80.0,68.0,Guardian,supporter,A_governed,0,0.7,0,allow
65.0,100.0,80.0,68.5,75.0,79.0,80.0,68.0,Scholar,gentle,A_governed,0,0.7,0,allow
65.0,100.0,80.0,68.5,75.0,79.0,80.0,68.0,Healer,gentle,A_governed,0,0.7,0,allow
65.0,100.0,80.0,68.5,75.0,79.0,80.0,68.0,Trickster,challenger,A_governed,0,0.7,0,allow
65.0,100.0,80.0,68.5,75.0,79.0,80.0,68.0,Pioneer,explorer,A_governed,0,0.7,0,allow
58.0,90.0,75.0,64.0,75.0,76.0,77.0,60.0,Guardian,supporter,A_governed,0,0.85,0,allow
58.0,90.0,75.0,64.0,75.0,76.0,77.0,60.0,Scholar,gentle,A_governed,0,0.85,0,allow
58.0,90.0,75.0,64.0,75.0,76.0,77.0,60.0,Healer,gentle,A_governed,0,0.85,0,allow
58.0,90.0,75.0,64.0,75.0,76.0,77.0,60.0,Trickster,challenger,A_governed,0,0.85,0,allow
58.0,90.0,75.0,64.0,75.0,76.0,77.0,60.0,Pioneer,explorer,A_governed,0,0.85,0,allow
100.0,86.0,70.0,59.5,75.0,73.0,74.0,52.0,Guardian,supporter,A_governed,0,0.7,0,allow
100.0,86.0,70.0,59.5,75.0,73.0,74.0,52.0,Scholar,gentle,A_governed,0,0.7,0,allow
100.0,86.0,70.0,59.5,75.0,73.0,74.0,52.0,Healer,gentle,A_governed,0,0.7,0,allow
100.0,86.0,70.0,59.5,75.0,73.0,74.0,52.0,Trickster,challenger,A_governed,0,0.7,0,allow
100.0,86.0,70.0,59.5,75.0,73.0,74.0,52.0,Pioneer,explorer,A_governed,0,0.7,0,allow
93.0,82.0,65.0,55.0,75.0,70.0,71.0,100.0,Guardian,supporter,A_governed,0,0.6,0,allow
93.0,82.0,65.0,55.0,75.0,70.0,71.0,100.0,Scholar,gentle,A_governed,0,0.6,0,allow
93.0,82.0,65.0,55.0,75.0,70.0,71.0,100.0,Healer,gentle,A_governed,0,0.6,0,allow
93.0,82.0,65.0,55.0,75.0,70.0,71.0,100.0,Trickster,challenger,A_governed,0,0.6,0,allow
93.0,82.0,65.0,55.0,75.0,70.0,71.0,100.0,Pioneer,explorer,A_governed,0,0.6,0,allow
86.0,72.0,60.0,50.5,75.0,67.0,68.0,92.0,Guardian,supporter,A_governed,0,0.85,0,allow
86.0,72.0,60.0,50.5,75.0,67.0,68.0,92.0,Scholar,gentle,A_governed,0,0.85,0,allow
86.0,72.0,60.0,50.5,75.0,67.0,68.0,92.0,Healer,gentle,A_governed,0,0.85,0,allow
86.0,72.0,60.0,50.5,75.0,67.0,68.0,92.0,Trickster,challenger,A_governed,0,0.85,0,allow
86.0,72.0,60.0,50.5,75.0,67.0,68.0,92.0,Pioneer,explorer,A_governed,0,0.85,0,allow
79.0,68.0,55.0,81.0,75.0,94.0,65.0,84.0,Guardian,supporter,A_governed,0,0.6,0,allow
79.0,68.0,55.0,81.0,75.0,94.0,65.0,84.0,Scholar,gentle,A_governed,0,0.6,0,allow
79.0,68.0,55.0,81.0,75.0,94.0,65.0,84.0,Healer,gentle,A_governed,0,0.6,0,allow
79.0,68.0,55.0,81.0,75.0,94.0,65.0,84.0,Trickster,challenger,A_governed,0,0.6,0,allow
79.0,68.0,55.0,81.0,75.0,94.0,65.0,84.0,Pioneer,explorer,A_governed,0,0.6,0,allow
72.0,64.0,50.0,100.0,75.0,100.0,62.0,76.0,Guardian,supporter,A_governed,0,0.6,0,allow
72.0,64.0,50.0,100.0,75.0,100.0,62.0,76.0,Scholar,gentle,A_governed,0,0.6,0,allow
72.0,64.0,50.0,100.0,75.0,100.0,62.0,76.0,Healer,gentle,A_governed,0,0.6,0,allow
72.0,64.0,50.0,100.0,75.0,100.0,62.0,76.0,Trickster,challenger,A_governed,0,0.6,0,allow
72.0,64.0,50.0,100.0,75.0,100.0,62.0,76.0,Pioneer,explorer,A_governed,0,0.6,0,allow
65.0,60.0,85.0,95.5,75.0,97.0,59.0,68.0,Guardian,supporter,A_governed,0,0.9,0,allow
65.0,60.0,85.0,95.5,75.0,97.0,59.0,68.0,Scholar,gentle,A_governed,0,0.9,0,allow
65.0,60.0,85.0,95.5,75.0,97.0,59.0,68.0,Healer,gentle,A_governed,0,0.9,0,allow
65.0,60.0,85.0,95.5,75.0,97.0,59.0,68.0,Trickster,challenger,A_governed,0,0.9,0,allow
65.0,60.0,85.0,95.5,75.0,97.0,59.0,68.0,Pioneer,explorer,A_governed,0,0.9,0,allow
58.0,56.0,80.0,100.0,75.0,100.0,56.0,60.0,Guardian,supporter,A_governed,0,0.6,0,allow
58.0,56.0,80.0,100.0,75.0,100.0,56.0,60.0,Scholar,gentle,A_governed,0,0.6,0,allow
58.0,56.0,80.0,100.0,75.0,100.0,56.0,60.0,Healer,gentle,A_governed,0,0.6,0,allow
58.0,56.0,80.0,100.0,75.0,100.0,56.0,60.0,Trickster,challenger,A_governed,0,0.6,0,allow
58.0,56.0,80.0,100.0,75.0,100.0,56.0,60.0,Pioneer,explorer,A_governed,0,0.6,0,allow
100.0,59.0,75.0,95.5,75.0,97.0,53.0,52.0,Guardian,supporter,A_governed,0,0.7,0,allow
100.0,59.0,75.0,95.5,75.0,97.0,53.0,52.0,Scholar,gentle,A_governed,0,0.7,0,allow
100.0,59.0,75.0,95.5,75.0,97.0,53.0,52.0,Healer,gentle,A_governed,0,0.7,0,allow
100.0,59.0,75.0,95.5,75.0,97.0,53.0,52.0,Trickster,challenger,A_governed,0,0.7,0,allow
100.0,59.0,75.0,95.5,75.0,97.0,53.0,52.0,Pioneer,explorer,A_governed,0,0.7,0,allow
93.0,62.0,70.0,91.0,75.0,94.0,50.0,100.0,Guardian,supporter,A_governed,0,0.6,0,allow
93.0,62.0,70.0,91.0,75.0,94.0,50.0,100.0,Scholar,gentle,A_governed,0,0.6,0,allow
93.0,62.0,70.0,91.0,75.0,94.0,50.0,100.0,Healer,gentle,A_governed,0,0.6,0,allow
93.0,62.0,70.0,91.0,75.0,94.0,50.0,100.0,Trickster,challenger,A_governed,0,0.6,0,allow
93.0,62.0,70.0,91.0,75.0,94.0,50.0,100.0,Pioneer,explorer,A_governed,0,0.6,0,allow
86.0,65.0,65.0,86.5,75.0,91.0,97.0,92.0,Guardian,supporter,A_governed,0,0.65,0,allow
86.0,65.0,65.0,86.5,75.0,91.0,97.0,92.0,Scholar,gentle,A_governed,0,0.65,0,allow
86.0,65.0,65.0,86.5,75.0,91.0,97.0,92.0,Healer,gentle,A_governed,0,0.65,0,allow
86.0,65.0,65.0,86.5,75.0,91.0,97.0,92.0,Trickster,challenger,A_governed,0,0.65,0,allow
86.0,65.0,65.0,86.5,75.0,91.0,97.0,92.0,Pioneer,explorer,A_governed,0,0.65,0,allow
79.0,68.0,60.0,100.0,75.0,100.0,94.0,84.0,Guardian,supporter,A_governed,0,0.6,0,allow
79.0,68.0,60.0,100.0,75.0,100.0,94.0,84.0,Scholar,gentle,A_governed,0,0.6,0,allow
79.0,68.0,60.0,100.0,75.0,100.0,94.0,84.0,Healer,gentle,A_governed,0,0.6,0,allow
79.0,68.0,60.0,100.0,75.0,100.0,94.0,84.0,Trickster,challenger,A_governed,0,0.6,0,allow
79.0,68.0,60.0,100.0,75.0,100.0,94.0,84.0,Pioneer,explorer,A_governed,0,0.6,0,allow
72.0,71.0,55.0,100.0,75.0,100.0,91.0,76.0,Guardian,supporter,A_governed,0,0.6,0,allow
72.0,71.0,55.0,100.0,75.0,100.0,91.0,76.0,Scholar,gentle,A_governed,0,0.6,0,allow
72.0,71.0,55.0,100.0,75.0,100.0,91.0,76.0,Healer,gentle,A_governed,0,0.6,0,allow
72.0,71.0,55.0,100.0,75.0,100.0,91.0,76.0,Trickster,challenger,A_governed,0,0.6,0,allow
72.0,71.0,55.0,100.0,75.0,100.0,91.0,76.0,Pioneer,explorer,A_governed,0,0.6,0,allow
65.0,74.0,50.0,100.0,75.0,100.0,88.0,68.0,Guardian,supporter,A_governed,0,0.6,0,allow
65.0,74.0,50.0,100.0,75.0,100.0,88.0,68.0,Scholar,gentle,A_governed,0,0.6,0,allow
65.0,74.0,50.0,100.0,75.0,100.0,88.0,68.0,Healer,gentle,A_governed,0,0.6,0,allow
65.0,74.0,50.0,100.0,75.0,100.0,88.0,68.0,Trickster,challenger,A_governed,0,0.6,0,allow
65.0,74.0,50.0,100.0,75.0,100.0,88.0,68.0,Pioneer,explorer,A_governed,0,0.6,0,allow
58.0,77.0,85.0,95.5,75.0,97.0,85.0,60.0,Guardian,supporter,A_governed,0,0.9,0,allow
58.0,77.0,85.0,95.5,75.0,97.0,85.0,60.0,Scholar,gentle,A_governed,0,0.9,0,allow
58.0,77.0,85.0,95.5,75.0,97.0,85.0,60.0,Healer,gentle,A_governed,0,0.9,0,allow
58.0,77.0,85.0,95.5,75.0,97.0,85.0,60.0,Trickster,challenger,A_governed,0,0.9,0,allow
58.0,77.0,85.0,95.5,75.0,97.0,85.0,60.0,Pioneer,explorer,A_governed,0,0.9,0,allow
100.0,73.0,80.0,91.0,75.0,94.0,82.0,52.0,Guardian,supporter,A_governed,0,0.7,0,allow
100.0,73.0,80.0,91.0,75.0,94.0,82.0,52.0,Scholar,gentle,A_governed,0,0.7,0,allow
100.0,73.0,80.0,91.0,75.0,94.0,82.0,52.0,Healer,gentle,A_governed,0,0.7,0,allow
100.0,73.0,80.0,91.0,75.0,94.0,82.0,52.0,Trickster,challenger,A_governed,0,0.7,0,allow
100.0,73.0,80.0,91.0,75.0,94.0,82.0,52.0,Pioneer,explorer,A_governed,0,0.7,0,allow
93.0,69.0,75.0,86.5,75.0,91.0,79.0,100.0,Guardian,supporter,A_governed,0,0.6,0,allow
93.0,69.0,75.0,86.5,75.0,91.0,79.0,100.0,Scholar,gentle,A_governed,0,0.6,0,allow
93.0,69.0,75.0,86.5,75.0,91.0,79.0,100.0,Healer,gentle,A_governed,0,0.6,0,allow
93.0,69.0,75.0,86.5,75.0,91.0,79.0,100.0,Trickster,challenger,A_governed,0,0.6,0,allow
93.0,69.0,75.0,86.5,75.0,91.0,79.0,100.0,Pioneer,explorer,A_governed,0,0.6,0,allow
86.0,59.0,70.0,82.0,75.0,88.0,76.0,92.0,Guardian,supporter,A_governed,0,0.85,0,allow
86.0,59.0,70.0,82.0,75.0,88.0,76.0,92.0,Scholar,gentle,A_governed,0,0.85,0,allow
86.0,59.0,70.0,82.0,75.0,88.0,76.0,92.0,Healer,gentle,A_governed,0,0.85,0,allow
86.0,59.0,70.0,82.0,75.0,88.0,76.0,92.0,Trickster,challenger,A_governed,0,0.85,0,allow
86.0,59.0,70.0,82.0,75.0,88.0,76.0,92.0,Pioneer,explorer,A_governed,0,0.85,0,allow
79.0,49.0,65.0,77.5,75.0,85.0,73.0,84.0,Guardian,supporter,A_governed,0,0.85,0,allow
79.0,49.0,65.0,77.5,75.0,85.0,73.0,84.0,Scholar,gentle,A_governed,0,0.85,0,allow
79.0,49.0,65.0,77.5,75.0,85.0,73.0,84.0,Healer,gentle,A_governed,0,0.85,0,allow
79.0,49.0,65.0,77.5,75.0,85.0,73.0,84.0,Trickster,challenger,A_governed,0,0.85,0,allow
79.0,49.0,65.0,77.5,75.0,85.0,73.0,84.0,Pioneer,explorer,A_governed,0,0.85,0,allow
72.0,100.0,60.0,73.0,75.0,82.0,70.0,76.0,Guardian,supporter,A_governed,0,0.7,0,allow
72.0,100.0,60.0,73.0,75.0,82.0,70.0,76.0,Scholar,gentle,A_governed,0,0.7,0,allow
72.0,100.0,60.0,73.0,75.0,82.0,70.0,76.0,Healer,gentle,A_governed,0,0.7,0,allow
72.0,100.0,60.0,73.0,75.0,82.0,70.0,76.0,Trickster,challenger,A_governed,0,0.7,0,allow
72.0,100.0,60.0,73.0,75.0,82.0,70.0,76.0,Pioneer,explorer,A_governed,0,0.7,0,allow
65.0,90.0,55.0,68.5,75.0,79.0,67.0,68.0,Guardian,supporter,A_governed,0,0.85,0,allow
65.0,90.0,55.0,68.5,75.0,79.0,67.0,68.0,Scholar,gentle,A_governed,0,0.85,0,allow
65.0,90.0,55.0,68.5,75.0,79.0,67.0,68.0,Healer,gentle,A_governed,0,0.85,0,allow
65.0,90.0,55.0,68.5,75.0,79.0,67.0,68.0,Trickster,challenger,A_governed,0,0.85,0,allow
65.0,90.0,55.0,68.5,75.0,79.0,67.0,68.0,Pioneer,explorer,A_governed,0,0.85,0,allow
58.0,80.0,50.0,64.0,75.0,76.0,64.0,60.0,Guardian,supporter,A_governed,0,0.85,0,allow
58.0,80.0,50.0,64.0,75.0,76.0,64.0,60.0,Scholar,gentle,A_governed,0,0.85,0,allow
58.0,80.0,50.0,64.0,75.0,76.0,64.0,60.0,Healer,gentle,A_governed,0,0.85,0,allow
58.0,80.0,50.0,64.0,75.0,76.0,64.0,60.0,Trickster,challenger,A_governed,0,0.85,0,allow
58.0,80.0,50.0,64.0,75.0,76.0,64.0,60.0,Pioneer,explorer,A_governed,0,0.85,0,allow
100.0,76.0,45.0,59.5,75.0,73.0,61.0,52.0,Guardian,supporter,A_governed,0,0.7,0,allow
100.0,76.0,45.0,59.5,75.0,73.0,61.0,52.0,Scholar,gentle,A_governed,0,0.7,0,allow
100.0,76.0,45.0,59.5,75.0,73.0,61.0,52.0,Healer,gentle,A_governed,0,0.7,0,allow
100.0,76.0,45.0,59.5,75.0,73.0,61.0,52.0,Trickster,challenger,A_governed,0,0.7,0,allow
100.0,76.0,45.0,59.5,75.0,73.0,61.0,52.0,Pioneer,explorer,A_governed,0,0.7,0,allow
93.0,72.0,80.0,55.0,75.0,70.0,58.0,44.0,Guardian,supporter,A_governed,0,0.9,0,allow
93.0,72.0,80.0,55.0,75.0,70.0,58.0,44.0,Scholar,gentle,A_governed,0,0.9,0,allow
93.0,72.0,80.0,55.0,75.0,70.0,58.0,44.0,Healer,gentle,A_governed,0,0.9,0,allow
93.0,72.0,80.0,55.0,75.0,70.0,58.0,44.0,Trickster,challenger,A_governed,0,0.9,0,allow
93.0,72.0,80.0,55.0,75.0,70.0,58.0,44.0,Pioneer,explorer,A_governed,0,0.9,0,allow
86.0,68.0,75.0,50.5,75.0,67.0,55.0,100.0,Guardian,supporter,A_governed,0,0.6,0,allow
86.0,68.0,75.0,50.5,75.0,67.0,55.0,100.0,Scholar,gentle,A_governed,0,0.6,0,allow
86.0,68.0,75.0,50.5,75.0,67.0,55.0,100.0,Healer,gentle,A_governed,0,0.6,0,allow
86.0,68.0,75.0,50.5,75.0,67.0,55.0,100.0,Trickster,challenger,A_governed,0,0.6,0,allow
86.0,68.0,75.0,50.5,75.0,67.0,55.0,100.0,Pioneer,explorer,A_governed,0,0.6,0,allow
79.0,64.0,70.0,81.0,75.0,94.0,52.0,92.0,Guardian,supporter,A_governed,0,0.6,0,allow
79.0,64.0,70.0,81.0,75.0,94.0,52.0,92.0,Scholar,gentle,A_governed,0,0.6,0,allow
79.0,64.0,70.0,81.0,75.0,94.0,52.0,92.0,Healer,gentle,A_governed,0,0.6,0,allow
79.0,64.0,70.0,81.0,75.0,94.0,52.0,92.0,Trickster,challenger,A_governed,0,0.6,0,allow
79.0,64.0,70.0,81.0,75.0,94.0,52.0,92.0,Pioneer,explorer,A_governed,0,0.6,0,allow
72.0,60.0,65.0,76.5,75.0,91.0,99.0,84.0,Guardian,supporter,A_governed,0,0.65,0,allow
72.0,60.0,65.0,76.5,75.0,91.0,99.0,84.0,Scholar,gentle,A_governed,0,0.65,0,allow
72.0,60.0,65.0,76.5,75.0,91.0,99.0,84.0,Healer,gentle,A_governed,0,0.65,0,allow
72.0,60.0,65.0,76.5,75.0,91.0,99.0,84.0,Trickster,challenger,A_governed,0,0.65,0,allow
72.0,60.0,65.0,76.5,75.0,91.0,99.0,84.0,Pioneer,explorer,A_governed,0,0.65,0,allow
65.0,50.0,60.0,72.0,75.0,88.0,96.0,76.0,Guardian,supporter,A_governed,0,0.85,0,allow
65.0,50.0,60.0,72.0,75.0,88.0,96.0,76.0,Scholar,gentle,A_governed,0,0.85,0,allow
65.0,50.0,60.0,72.0,75.0,88.0,96.0,76.0,Healer,gentle,A_governed,0,0.85,0,allow
65.0,50.0,60.0,72.0,75.0,88.0,96.0,76.0,Trickster,challenger,A_governed,0,0.85,0,allow
65.0,50.0,60.0,72.0,75.0,88.0,96.0,76.0,Pioneer,explorer,A_governed,0,0.85,0,allow
58.0,100.0,55.0,67.5,75.0,85.0,93.0,68.0,Guardian,supporter,A_governed,0,0.7,0,allow
58.0,100.0,55.0,67.5,75.0,85.0,93.0,68.0,Scholar,gentle,A_governed,0,0.7,0,allow
58.0,100.0,55.0,67.5,75.0,85.0,93.0,68.0,Healer,gentle,A_governed,0,0.7,0,allow
58.0,100.0,55.0,67.5,75.0,85.0,93.0,68.0,Trickster,challenger,A_governed,0,0.7,0,allow
58.0,100.0,55.0,67.5,75.0,85.0,93.0,68.0,Pioneer,explorer,A_governed,0,0.7,0,allow
100.0,96.0,50.0,63.0,75.0,82.0,90.0,60.0,Guardian,supporter,A_governed,0,0.7,0,allow
100.0,96.0,50.0,63.0,75.0,82.0,90.0,60.0,Scholar,gentle,A_governed,0,0.7,0,allow
100.0,96.0,50.0,63.0,75.0,82.0,90.0,60.0,Healer,gentle,A_governed,0,0.7,0,allow
100.0,96.0,50.0,63.0,75.0,82.0,90.0,60.0,Trickster,challenger,A_governed,0,0.7,0,allow
100.0,96.0,50.0,63.0,75.0,82.0,90.0,60.0,Pioneer,explorer,A_governed,0,0.7,0,allow
93.0,92.0,85.0,58.5,75.0,79.0,87.0,52.0,Guardian,supporter,A_governed,0,0.9,0,allow
93.0,92.0,85.0,58.5,75.0,79.0,87.0,52.0,Scholar,gentle,A_governed,0,0.9,0,allow
93.0,92.0,85.0,58.5,75.0,79.0,87.0,52.0,Healer,gentle,A_governed,0,0.9,0,allow
93.0,92.0,85.0,58.5,75.0,79.0,87.0,52.0,Trickster,challenger,A_governed,0,0.9,0,allow
93.0,92.0,85.0,58.5,75.0,79.0,87.0,52.0,Pioneer,explorer,A_governed,0,0.9,0,allow
86.0,88.0,80.0,54.0,75.0,76.0,84.0,100.0,Guardian,supporter,A_governed,0,0.6,0,allow
86.0,88.0,80.0,54.0,75.0,76.0,84.0,100.0,Scholar,gentle,A_governed,0,0.6,0,allow
86.0,88.0,80.0,54.0,75.0,76.0,84.0,100.0,Healer,gentle,A_governed,0,0.6,0,allow
86.0,88.0,80.0,54.0,75.0,76.0,84.0,100.0,Trickster,challenger,A_governed,0,0.6,0,allow
86.0,88.0,80.0,54.0,75.0,76.0,84.0,100.0,Pioneer,explorer,A_governed,0,0.6,0,allow
79.0,91.0,75.0,84.5,75.0,100.0,81.0,92.0,Guardian,supporter,A_governed,0,0.6,0,allow
79.0,91.0,75.0,84.5,75.0,100.0,81.0,92.0,Scholar,gentle,A_governed,0,0.6,0,allow
79.0,91.0,75.0,84.5,75.0,100.0,81.0,92.0,Healer,gentle,A_governed,0,0.6,0,allow
79.0,91.0,75.0,84.5,75.0,100.0,81.0,92.0,Trickster,challenger,A_governed,0,0.6,0,allow
79.0,91.0,75.0,84.5,75.0,100.0,81.0,92.0,Pioneer,explorer,A_governed,0,0.6,0,allow
72.0,94.0,70.0,100.0,75.0,100.0,78.0,84.0,Guardian,supporter,A_governed,0,0.6,0,allow
72.0,94.0,70.0,100.0,75.0,100.0,78.0,84.0,Scholar,gentle,A_governed,0,0.6,0,allow
72.0,94.0,70.0,100.0,75.0,100.0,78.0,84.0,Healer,gentle,A_governed,0,0.6,0,allow
